id,customer_id,campaign_id,is_converted,created_at
1,673,1,0,7/9/2025
2,615,1,0,7/9/2025
3,644,1,0,7/9/2025
4,109,1,0,7/9/2025
5,484,1,1,7/9/2025
6,604,1,0,7/9/2025
7,583,1,0,7/9/2025
8,876,1,0,7/9/2025
9,123,1,0,7/9/2025
10,895,1,0,7/9/2025
11,475,1,0,7/9/2025
12,639,1,0,7/9/2025
13,111,1,0,7/9/2025
14,6,1,0,7/9/2025
15,390,1,0,7/9/2025
16,728,1,0,7/9/2025
17,194,1,0,7/9/2025
18,300,1,0,7/9/2025
19,33,1,0,7/9/2025
20,759,1,0,7/9/2025
21,608,1,0,7/9/2025
22,148,1,0,7/9/2025
23,341,1,0,7/9/2025
24,122,1,0,7/9/2025
25,852,1,0,7/9/2025
26,897,1,0,7/9/2025
27,573,1,0,7/9/2025
28,984,1,0,7/9/2025
29,759,1,0,7/9/2025
30,649,1,0,7/9/2025
31,509,1,0,7/9/2025
32,491,1,0,7/9/2025
33,239,1,0,7/9/2025
34,776,1,1,7/9/2025
35,285,1,0,7/9/2025
36,184,1,0,7/9/2025
37,487,1,0,7/9/2025
38,918,1,0,7/9/2025
39,643,1,0,7/9/2025
40,299,1,0,7/9/2025
41,135,2,1,12/6/2025
42,172,2,0,12/6/2025
43,53,2,0,12/6/2025
44,792,2,0,12/6/2025
45,752,2,0,12/6/2025
46,211,2,0,12/6/2025
47,466,2,0,12/6/2025
48,188,2,0,12/6/2025
49,672,3,0,9/5/2025
50,290,3,0,9/5/2025
51,763,3,0,9/5/2025
52,914,3,0,9/5/2025
53,418,3,0,9/5/2025
54,478,3,0,9/5/2025
55,69,3,0,9/5/2025
56,362,3,0,9/5/2025
57,142,3,0,9/5/2025
58,98,3,0,9/5/2025
59,257,3,0,9/5/2025
60,916,3,0,9/5/2025
61,686,3,0,9/5/2025
62,494,3,0,9/5/2025
63,43,3,0,9/5/2025
64,124,3,0,9/5/2025
65,632,3,0,9/5/2025
66,634,3,0,9/5/2025
67,98,3,0,9/5/2025
68,832,3,0,9/5/2025
69,117,3,0,9/5/2025
70,142,3,0,9/5/2025
71,857,4,0,11/22/2025
72,900,4,0,11/22/2025
73,578,4,0,11/22/2025
74,390,4,0,11/22/2025
75,194,4,0,11/22/2025
76,959,4,0,11/22/2025
77,869,4,0,11/22/2025
78,123,4,0,11/22/2025
79,165,4,0,11/22/2025
80,541,4,0,11/22/2025
81,480,4,0,11/22/2025
82,823,4,0,11/22/2025
83,274,4,0,11/22/2025
84,789,4,0,11/22/2025
85,62,4,1,11/22/2025
86,639,4,0,11/22/2025
87,107,4,0,11/22/2025
88,449,4,0,11/22/2025
89,131,4,0,11/22/2025
90,111,4,0,11/22/2025
91,473,4,0,11/22/2025
92,449,4,0,11/22/2025
93,900,4,0,11/22/2025
94,337,4,0,11/22/2025
95,614,4,0,11/22/2025
96,35,4,0,11/22/2025
97,120,4,0,11/22/2025
98,181,4,0,11/22/2025
99,107,4,0,11/22/2025
100,938,4,1,11/22/2025
101,279,4,0,11/22/2025
102,910,4,0,11/22/2025
103,836,4,0,11/22/2025
104,107,4,0,11/22/2025
105,366,4,0,11/22/2025
106,241,4,0,11/22/2025
107,990,4,0,11/22/2025
108,475,4,0,11/22/2025
109,395,4,0,11/22/2025
110,663,4,0,11/22/2025
111,768,5,0,6/2/2025
112,229,5,0,6/2/2025
113,891,5,0,6/2/2025
114,971,5,0,6/2/2025
115,930,5,0,6/2/2025
116,206,5,0,6/2/2025
117,673,5,0,6/2/2025
118,568,5,0,6/2/2025
119,395,5,0,6/2/2025
120,638,5,0,6/2/2025
121,327,5,0,6/2/2025
122,1000,5,0,6/2/2025
123,919,5,1,6/2/2025
124,264,5,0,6/2/2025
125,541,5,0,6/2/2025
126,390,5,0,6/2/2025
127,6,5,0,6/2/2025
128,548,5,0,6/2/2025
129,184,5,0,6/2/2025
130,324,5,0,6/2/2025
131,226,6,0,4/2/2025
132,687,6,0,4/2/2025
133,218,6,0,4/2/2025
134,680,6,0,4/2/2025
135,231,6,0,4/2/2025
136,935,6,1,4/2/2025
137,816,6,0,4/2/2025
138,543,6,0,4/2/2025
139,539,7,0,2/4/2025
140,326,7,0,2/4/2025
141,310,7,0,2/4/2025
142,172,7,0,2/4/2025
143,652,7,0,2/4/2025
144,792,7,0,2/4/2025
145,218,7,0,2/4/2025
146,176,7,0,2/4/2025
147,15,7,1,2/4/2025
148,503,7,0,2/4/2025
149,543,7,0,2/4/2025
150,211,7,1,2/4/2025
151,270,7,0,2/4/2025
152,447,7,0,2/4/2025
153,226,7,0,2/4/2025
154,228,7,0,2/4/2025
155,601,7,0,2/4/2025
156,624,8,0,10/18/2025
157,46,8,0,10/18/2025
158,976,8,0,10/18/2025
159,493,8,0,10/18/2025
160,771,8,1,10/18/2025
161,727,8,0,10/18/2025
162,235,8,0,10/18/2025
163,373,8,0,10/18/2025
164,323,8,0,10/18/2025
165,556,8,0,10/18/2025
166,424,8,0,10/18/2025
167,820,8,1,10/18/2025
168,282,8,0,10/18/2025
169,689,8,0,10/18/2025
170,438,8,1,10/18/2025
171,30,9,1,8/7/2025
172,834,9,0,8/7/2025
173,805,9,0,8/7/2025
174,834,9,0,8/7/2025
175,384,9,0,8/7/2025
176,440,9,0,8/7/2025
177,881,9,0,8/7/2025
178,892,9,0,8/7/2025
179,315,9,0,8/7/2025
180,60,9,0,8/7/2025
181,741,9,1,8/7/2025
182,18,9,0,8/7/2025
183,261,9,0,8/7/2025
184,856,9,0,8/7/2025
185,966,9,0,8/7/2025
186,454,9,0,8/7/2025
187,850,9,1,8/7/2025
188,513,9,0,8/7/2025
189,783,9,0,8/7/2025
190,413,9,1,8/7/2025
191,407,9,0,8/7/2025
192,550,9,0,8/7/2025
193,14,9,0,8/7/2025
194,26,9,1,8/7/2025
195,875,9,0,8/7/2025
196,781,10,0,7/6/2025
197,15,10,0,7/6/2025
198,851,10,0,7/6/2025
199,879,10,1,7/6/2025
200,830,10,0,7/6/2025
201,218,10,0,7/6/2025
202,25,10,0,7/6/2025
203,70,10,0,7/6/2025
204,277,10,0,7/6/2025
205,896,10,0,7/6/2025
206,138,10,0,7/6/2025
207,970,10,0,7/6/2025
208,461,10,0,7/6/2025
209,940,10,0,7/6/2025
210,987,10,0,7/6/2025
211,375,10,1,7/6/2025
212,387,10,0,7/6/2025
213,784,11,0,10/8/2025
214,871,11,0,10/8/2025
215,19,11,0,10/8/2025
216,72,11,0,10/8/2025
217,585,11,0,10/8/2025
218,622,11,0,10/8/2025
219,199,11,0,10/8/2025
220,357,11,0,10/8/2025
221,336,11,0,10/8/2025
222,671,11,0,10/8/2025
223,383,11,1,10/8/2025
224,600,11,1,10/8/2025
225,953,11,0,10/8/2025
226,682,11,0,10/8/2025
227,915,11,0,10/8/2025
228,197,11,0,10/8/2025
229,463,11,1,10/8/2025
230,293,11,0,10/8/2025
231,920,11,0,10/8/2025
232,355,11,0,10/8/2025
233,56,11,0,10/8/2025
234,91,11,0,10/8/2025
235,622,11,0,10/8/2025
236,257,11,0,10/8/2025
237,72,11,0,10/8/2025
238,16,11,0,10/8/2025
239,370,11,0,10/8/2025
240,66,11,0,10/8/2025
241,451,11,0,10/8/2025
242,762,11,0,10/8/2025
243,198,11,0,10/8/2025
244,16,11,0,10/8/2025
245,878,11,0,10/8/2025
246,620,11,0,10/8/2025
247,396,11,0,10/8/2025
248,760,11,0,10/8/2025
249,682,11,0,10/8/2025
250,682,11,0,10/8/2025
251,16,11,0,10/8/2025
252,933,11,0,10/8/2025
253,704,11,0,10/8/2025
254,914,11,1,10/8/2025
255,140,11,0,10/8/2025
256,937,11,0,10/8/2025
257,79,11,0,10/8/2025
258,66,11,0,10/8/2025
259,582,11,0,10/8/2025
260,450,11,0,10/8/2025
261,365,11,0,10/8/2025
262,647,11,0,10/8/2025
263,751,11,0,10/8/2025
264,257,11,0,10/8/2025
265,920,11,0,10/8/2025
266,344,11,0,10/8/2025
267,995,11,0,10/8/2025
268,730,11,0,10/8/2025
269,955,11,1,10/8/2025
270,99,11,1,10/8/2025
271,841,11,0,10/8/2025
272,933,11,0,10/8/2025
273,832,11,0,10/8/2025
274,202,11,0,10/8/2025
275,534,11,0,10/8/2025
276,388,11,0,10/8/2025
277,837,11,0,10/8/2025
278,370,11,0,10/8/2025
279,596,11,0,10/8/2025
280,432,11,0,10/8/2025
281,684,11,0,10/8/2025
282,110,11,0,10/8/2025
283,344,11,0,10/8/2025
284,419,11,0,10/8/2025
285,19,11,0,10/8/2025
286,478,11,0,10/8/2025
287,634,11,0,10/8/2025
288,474,11,0,10/8/2025
289,622,11,0,10/8/2025
290,39,11,0,10/8/2025
291,731,11,0,10/8/2025
292,281,11,0,10/8/2025
293,996,11,0,10/8/2025
294,474,11,0,10/8/2025
295,351,11,0,10/8/2025
296,290,11,0,10/8/2025
297,600,11,0,10/8/2025
298,105,11,0,10/8/2025
299,972,11,0,10/8/2025
300,763,11,0,10/8/2025
301,55,11,0,10/8/2025
302,90,11,1,10/8/2025
303,453,11,0,10/8/2025
304,343,11,0,10/8/2025
305,672,11,0,10/8/2025
306,458,11,0,10/8/2025
307,353,11,0,10/8/2025
308,219,11,0,10/8/2025
309,864,11,0,10/8/2025
310,55,11,0,10/8/2025
311,343,11,0,10/8/2025
312,335,11,0,10/8/2025
313,254,12,0,10/17/2025
314,111,12,0,10/17/2025
315,568,12,0,10/17/2025
316,327,12,1,10/17/2025
317,989,12,0,10/17/2025
318,28,12,0,10/17/2025
319,249,12,0,10/17/2025
320,900,12,0,10/17/2025
321,588,12,0,10/17/2025
322,949,12,0,10/17/2025
323,999,12,0,10/17/2025
324,842,12,0,10/17/2025
325,337,12,0,10/17/2025
326,505,12,0,10/17/2025
327,768,12,0,10/17/2025
328,809,12,0,10/17/2025
329,83,12,0,10/17/2025
330,330,12,0,10/17/2025
331,49,12,0,10/17/2025
332,131,12,0,10/17/2025
333,876,12,0,10/17/2025
334,241,12,0,10/17/2025
335,559,12,0,10/17/2025
336,181,12,0,10/17/2025
337,719,12,0,10/17/2025
338,541,12,0,10/17/2025
339,83,12,0,10/17/2025
340,756,12,0,10/17/2025
341,49,12,0,10/17/2025
342,985,12,0,10/17/2025
343,587,12,0,10/17/2025
344,299,12,0,10/17/2025
345,604,12,0,10/17/2025
346,778,12,0,10/17/2025
347,551,12,1,10/17/2025
348,123,12,0,10/17/2025
349,804,12,0,10/17/2025
350,803,12,0,10/17/2025
351,554,12,0,10/17/2025
352,685,12,0,10/17/2025
353,712,13,0,8/20/2025
354,432,13,0,8/20/2025
355,894,13,0,8/20/2025
356,359,13,0,8/20/2025
357,16,13,0,8/20/2025
358,219,13,0,8/20/2025
359,314,13,0,8/20/2025
360,448,13,0,8/20/2025
361,293,13,1,8/20/2025
362,404,13,0,8/20/2025
363,365,13,0,8/20/2025
364,978,13,0,8/20/2025
